# ----------------------------------------
# eCommerce (setup: SamuelC)
# Language
# 20190101-20190430
# ----------------------------------------

Language,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
en-us,"23,497","22,696","35,113",0.54%,6.35,00:02:32,27.21%,"9,555",$0.00
id-id,"7,797","7,613","10,617",0.65%,4.89,00:01:38,16.26%,"1,726",$0.00
en-gb,"3,198","3,086","4,625",0.56%,5.52,00:01:50,21.36%,988,$0.00
id,"2,171","2,094","2,724",0.29%,4.75,00:01:43,17.18%,468,$0.00
en,224,214,295,3.05%,5.03,00:01:44,26.78%,79,$0.00
id-us,204,202,235,1.28%,3.64,00:00:44,4.68%,11,$0.00
th-th,186,186,224,0.45%,3.50,00:00:40,4.91%,11,$0.00
en-sg,132,125,231,0.00%,6.92,00:02:10,39.83%,92,$0.00
en-id,126,119,171,0.00%,6.39,00:04:10,26.32%,45,$0.00
en-au,93,91,127,0.00%,5.56,00:01:22,19.69%,25,$0.00
,"38,351","37,140","55,195",0.63%,5.86,00:02:13,23.96%,"13,222",$0.00

Day Index,Users
1/1/19,122
1/2/19,174
1/3/19,240
1/4/19,231
1/5/19,172
1/6/19,134
1/7/19,304
1/8/19,456
1/9/19,381
1/10/19,448
1/11/19,460
1/12/19,320
1/13/19,261
1/14/19,352
1/15/19,331
1/16/19,243
1/17/19,246
1/18/19,238
1/19/19,163
1/20/19,173
1/21/19,227
1/22/19,347
1/23/19,359
1/24/19,258
1/25/19,218
1/26/19,163
1/27/19,154
1/28/19,227
1/29/19,288
1/30/19,327
1/31/19,252
2/1/19,317
2/2/19,413
2/3/19,257
2/4/19,297
2/5/19,252
2/6/19,434
2/7/19,353
2/8/19,335
2/9/19,260
2/10/19,181
2/11/19,345
2/12/19,581
2/13/19,487
2/14/19,408
2/15/19,347
2/16/19,480
2/17/19,294
2/18/19,385
2/19/19,591
2/20/19,"1,107"
2/21/19,"2,487"
2/22/19,"1,101"
2/23/19,813
2/24/19,481
2/25/19,521
2/26/19,619
2/27/19,484
2/28/19,461
3/1/19,503
3/2/19,307
3/3/19,249
3/4/19,662
3/5/19,670
3/6/19,625
3/7/19,571
3/8/19,477
3/9/19,222
3/10/19,311
3/11/19,444
3/12/19,442
3/13/19,602
3/14/19,452
3/15/19,384
3/16/19,342
3/17/19,214
3/18/19,539
3/19/19,731
3/20/19,584
3/21/19,738
3/22/19,496
3/23/19,418
3/24/19,491
3/25/19,396
3/26/19,936
3/27/19,463
3/28/19,433
3/29/19,343
3/30/19,257
3/31/19,204
4/1/19,316
4/2/19,348
4/3/19,257
4/4/19,320
4/5/19,299
4/6/19,191
4/7/19,173
4/8/19,313
4/9/19,404
4/10/19,360
4/11/19,354
4/12/19,316
4/13/19,296
4/14/19,188
4/15/19,303
4/16/19,453
4/17/19,272
4/18/19,463
4/19/19,232
4/20/19,225
4/21/19,185
4/22/19,394
4/23/19,518
4/24/19,405
4/25/19,448
4/26/19,369
4/27/19,359
4/28/19,307
4/29/19,428
4/30/19,468
,"47,830"
