newacct_no,tenure,effc_strt_date,effc_end_date,contract_month,ce_expiry,secured_revenue,bandwidth,term_reas_code,complaint_cnt,with_phone_service,churn
95547006.001.000087602,10,2018-02-12,2020-11-02,24,-10,120,10M,0,0,0,1
71381974.001.000004732,193,2017-04-25,2019-04-24,24,-10,400,100M,0,0,1,1
71794010.001.000006385,196,2019-05-20,2021-05-19,24,15,310,100M,0,0,1,0
94274982.001.000088205,18,2018-03-28,2020-03-27,24,2,258,100M (FTTO),0,0,1,0
91658088.001.000054088,89,2019-12-11,2021-10-12,24,22,192,100M,0,0,1,0
94830239.001.000090106,15,2018-10-02,2020-01-10,24,8,145,100M,0,0,0,0
95578449.001.000087938,15,2018-03-10,2020-09-03,24,1,140,100M,0,0,0,0
73320939.001.000066270,66,2019-08-01,2021-07-31,24,18,770,100M,0,0,1,0
72924863.001.000010717,173,2018-04-20,2020-04-19,24,2,178,100M,0,0,0,0
90052945.002.000088250,2,2018-03-29,2020-03-28,24,-14,510,30M,0,0,0,1
91083394.004.000087255,23,2018-01-18,2020-01-17,24,-1,90,100M,0,0,0,0
92981885.001.000059592,96,2019-11-11,2021-10-11,24,21,160,100M,0,0,1,0
95626412.001.000088473,3,2018-04-21,2020-04-20,24,2,99,100M (FTTO),0,0,0,0
73601577.001.000013078,166,2018-05-26,2020-05-25,24,3,218,100M (FTTO),0,0,0,0
78887817.002.000093122,9,2019-02-19,2021-02-18,24,12,2000,1000M (FTTO),0,0,1,0
73649667.001.000013293,166,2019-04-15,2021-04-14,24,14,160,100M,0,0,0,0
95623179.001.000088450,13,2018-05-20,2020-05-19,24,3,164,100M (FTTO),0,0,0,0
95865580.001.000091225,5,2018-10-19,2020-10-18,24,8,300,1000M (FTTO),0,0,0,0
96098066.004.000095089,0,2019-08-22,2021-08-21,24,18,0,100M (FTTO),0,0,0,0
73865875.001.000014446,165,2018-06-24,2020-06-23,24,4,93,100M,0,0,0,0
74457599.001.000017095,156,2019-12-08,2021-07-12,24,22,178,100M (FTTO),0,0,0,0
94536562.001.000074593,36,2016-06-24,2019-08-23,38,-6,1149,30M,0,0,0,1
72266919.001.000008527,185,2018-09-15,2020-09-14,24,7,288,30M,0,0,0,0
93721900.001.000062869,79,2019-02-01,2021-01-31,24,12,178,100M,0,0,1,0
93976744.001.000066564,67,2017-07-28,2019-07-27,24,-6,190,100M,0,0,1,1
94444551.001.000073454,37,2019-05-01,2021-04-30,24,15,428,100M,0,3,0,0
94896263.001.000080958,38,2018-11-01,2020-10-31,24,9,90,100M (FTTO),0,0,0,0
71309637.001.000064109,76,2018-05-14,2021-03-13,34,13,1076,100M,0,0,0,0
94281482.001.000070597,48,2017-06-01,2020-05-31,36,4,152,100M,0,0,1,0
94266913.001.000070514,38,2018-11-19,2020-11-18,24,9,770,100M (FTTO),0,0,1,0
94429651.001.000073247,42,2019-05-18,2021-05-17,24,15,166,30M,0,0,0,0
94675444.001.000076844,26,2018-02-03,2020-02-02,24,0,90,100M,0,0,0,0
95219366.001.000088196,13,2018-04-13,2021-12-04,36,14,320,100M (FTTO),0,0,0,0
71909246.001.000006969,189,2019-09-18,2021-09-17,24,19,140,100M,0,0,0,0
94649795.001.000088034,12,2019-04-09,2022-08-04,36,26,477,100M,0,0,0,0
94395480.001.000080341,32,2018-08-26,2020-08-25,24,6,3204,100M,0,0,0,0
74466574.001.000017066,163,2019-08-26,2021-08-25,24,18,200,100M,0,0,1,0
76495282.001.000091306,4,2019-04-04,2022-03-11,43,33,300,100M (FTTO),0,0,1,0
95389565.001.000085762,7,2017-10-20,2020-10-19,36,8,140,100M,0,0,0,0
74127119.001.000015491,164,2019-09-01,2021-08-31,24,19,180,100M,0,0,1,0
94281276.001.000081815,25,2019-01-01,2020-12-31,24,11,3628,100M (FTTO),0,0,1,0
91538074.001.000052811,103,2018-04-07,2020-06-04,24,2,178,100M,0,0,1,0
94821139.001.000079091,43,2016-06-04,2018-03-06,24,-20,126,100M,0,0,0,0
92531227.001.000084641,26,2019-07-31,2021-07-30,24,18,664,30M,0,0,0,0
