id,cement,slag,flyash,water,super_plast,coarse_agg,fine_agg,age,strength
S1,540,0,0,162,2.5,1040,676,28,79.99
S2,540,0,0,162,2.5,1055,676,28,61.89
S3,332.5,142.5,0,228,0,932,594,270,40.27
S4,332.5,142.5,0,228,0,932,594,365,41.05
S5,198.6,132.4,0,192,0,978.4,825.5,360,44.3
S6,380,95,0,228,0,932,594,365,43.7
S7,380,95,0,228,0,932,594,28,36.45
S8,475,0,0,228,0,932,594,28,39.29
S9,198.6,132.4,0,192,0,978.4,825.5,90,38.07
S10,198.6,132.4,0,192,0,978.4,825.5,28,28.02
S11,304,76,0,228,0,932,670,28,47.81
S12,380,0,0,228,0,932,670,90,52.91
S13,139.6,209.4,0,192,0,1047,806.9,90,39.36
S14,342,38,0,228,0,932,670,365,56.14
S15,380,95,0,228,0,932,594,90,40.56
S16,475,0,0,228,0,932,594,180,42.62
S17,427.5,47.5,0,228,0,932,594,180,41.84
S18,139.6,209.4,0,192,0,1047,806.9,28,28.24
S19,139.6,209.4,0,192,0,1047,806.9,3,8.06
S20,139.6,209.4,0,192,0,1047,806.9,180,44.21
S21,380,0,0,228,0,932,670,365,52.52
S22,380,95,0,228,0,932,594,270,41.15
S23,342,38,0,228,0,932,670,180,52.12
S24,475,0,0,228,0,932,594,7,38.6
S25,304,76,0,228,0,932,670,365,55.26
S26,266,114,0,228,0,932,670,365,52.91
S27,475,0,0,228,0,932,594,270,42.13
S28,190,190,0,228,0,932,670,365,53.69
S29,237.5,237.5,0,228,0,932,594,270,38.41
S30,237.5,237.5,0,228,0,932,594,28,30.08
S31,475,0,0,228,0,932,594,90,42.23
S32,342,38,0,228,0,932,670,90,50.46
S33,380,0,0,228,0,932,670,180,53.1
S34,427.5,47.5,0,228,0,932,594,90,41.54
S35,427.5,47.5,0,228,0,932,594,7,35.08
S36,349,0,0,192,0,1047,806.9,3,15.05
S37,237.5,237.5,0,228,0,932,594,7,26.26
S38,380,95,0,228,0,932,594,7,32.82
S39,332.5,142.5,0,228,0,932,594,180,39.78
S40,237.5,237.5,0,228,0,932,594,90,33.12
S41,304,76,0,228,0,932,670,90,49.19
S42,139.6,209.4,0,192,0,1047,806.9,7,14.59
S43,198.6,132.4,0,192,0,978.4,825.5,7,14.64
S44,198.6,132.4,0,192,0,978.4,825.5,3,9.13
S45,304,76,0,228,0,932,670,180,50.95
S46,332.5,142.5,0,228,0,932,594,28,33.02
S47,304,76,0,228,0,932,670,270,54.38
S48,266,114,0,228,0,932,670,270,51.73
S49,310,0,0,192,0,971,850.6,3,9.87
S50,190,190,0,228,0,932,670,270,50.66
S51,266,114,0,228,0,932,670,180,48.7
S52,342,38,0,228,0,932,670,270,55.06
S53,139.6,209.4,0,192,0,1047,806.9,360,44.7
S54,332.5,142.5,0,228,0,932,594,7,30.28
S55,485,0,0,146,0,1120,800,28,71.99
S56,374,189.2,0,170.1,10.1,926.1,756.7,3,34.4
S57,313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
S58,425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
S59,375,93.8,0,126.6,23.4,852.1,992.6,3,29
S60,475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
S61,469,117.2,0,137.8,32.2,852.1,840.5,3,40.2
S62,425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
S63,388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
S64,531.3,0,0,141.8,28.2,852.1,893.7,3,41.3
S65,425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
S66,318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
S67,401.8,94.7,0,147.4,11.4,946.8,852.1,3,41.1
S68,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
S69,323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
S70,379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6
S71,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
S72,286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4
S73,362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
