Order.ID,Order.Date,Ship.Date,Ship.Mode,Customer.ID,Segment,Product.ID,Category,Sub.Category,Product.Name,Sales,Quantity,Discount,Profit
CA-2015-137946,9/1/15,9/4/15,Second Class,DB-13615,Consumer,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,959.984,2,0.2,335.9944
US-2014-135972,9/21/14,9/23/14,Second Class,JG-15115,Consumer,TEC-CO-10002313,Technology,Copiers,Canon PC1080F Personal Copier,1799.97,3,0,701.9883
CA-2017-117457,12/8/17,12/12/17,Standard Class,KH-16510,Consumer,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976,3,0.2,434.9913
CA-2017-127432,1/22/17,1/27/17,Standard Class,AD-10180,Home Office,TEC-CO-10003236,Technology,Copiers,Canon Image Class D660 Copier,2999.95,5,0,1379.977
CA-2014-131450,8/8/14,8/15/14,Standard Class,LR-16915,Consumer,TEC-CO-10004115,Technology,Copiers,Sharp AL-1530CS Digital Copier,1199.976,3,0.2,434.9913
CA-2016-110499,4/7/16,4/9/16,First Class,YC-21895,Corporate,TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,1199.976,3,0.2,374.9925
CA-2015-112452,4/4/15,4/4/15,Same Day,NC-18340,Consumer,TEC-CO-10004202,Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,599.98,2,0,209.993
CA-2016-153682,5/30/16,6/1/16,First Class,BG-11695,Corporate,TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,839.988,2,0.4,69.999
CA-2014-134278,7/6/14,7/8/14,First Class,EP-13915,Consumer,TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,559.992,1,0.2,174.9975
CA-2015-111829,3/19/15,3/20/15,First Class,FH-14365,Corporate,TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier,3149.93,7,0,1480.4671
CA-2016-147417,7/25/16,7/27/16,First Class,CB-12415,Consumer,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,1439.976,4,0.4,191.9968
CA-2015-142944,3/6/15,3/11/15,Standard Class,JL-15850,Consumer,TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,1119.984,2,0.2,377.9946
US-2017-117534,3/25/17,3/26/17,First Class,CV-12295,Consumer,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,479.984,2,0.2,59.998
US-2016-164630,1/4/16,1/9/16,Standard Class,EB-13975,Corporate,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,959.968,4,0.2,119.996
CA-2015-166464,9/12/15,9/17/15,Standard Class,PG-18895,Consumer,TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier,479.984,2,0.2,59.998
US-2015-100377,8/28/15,9/1/15,Standard Class,TS-21370,Corporate,TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,2799.96,5,0.2,874.9875
CA-2017-133865,5/8/17,5/12/17,Standard Class,PS-19045,Home Office,TEC-CO-10001046,Technology,Copiers,Canon Imageclass D680 Copier / Fax,3359.952,6,0.2,1049.985
US-2015-131359,10/30/15,11/2/15,Second Class,FA-14230,Corporate,TEC-CO-10001571,Technology,Copiers,Sharp 1540cs Digital Laser Copier,439.992,1,0.2,164.997
CA-2015-104941,6/13/15,6/19/15,Standard Class,DH-13075,Corporate,TEC-CO-10004202,Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,899.97,3,0,314.9895
CA-2017-161956,8/27/17,8/29/17,Second Class,DR-12880,Corporate,TEC-CO-10001571,Technology,Copiers,Sharp 1540cs Digital Laser Copier,879.984,2,0.2,329.994
CA-2015-140984,9/14/15,9/18/15,Standard Class,CC-12685,Consumer,TEC-CO-10001571,Technology,Copiers,Sharp 1540cs Digital Laser Copier,879.984,2,0.2,329.994
CA-2016-135265,7/7/16,7/9/16,Second Class,CC-12370,Consumer,TEC-CO-10003763,Technology,Copiers,Canon PC1060 Personal Laser Copier,2799.96,5,0.2,944.9865
CA-2015-156104,12/6/15,12/8/15,Second Class,NP-18685,Home Office,TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,999.98,2,0,449.991
CA-2015-143105,12/10/15,12/10/15,Same Day,MA-17560,Home Office,TEC-CO-10002095,Technology,Copiers,Hewlett Packard 610 Color Digital Copier / Printer,799.984,2,0.2,249.995
CA-2015-105690,11/21/15,11/26/15,Second Class,CA-11965,Corporate,TEC-CO-10001571,Technology,Copiers,Sharp 1540cs Digital Laser Copier,439.992,1,0.2,164.997
CA-2014-150798,12/1/14,12/3/14,Second Class,JK-15730,Consumer,TEC-CO-10001571,Technology,Copiers,Sharp 1540cs Digital Laser Copier,659.988,2,0.4,109.998
CA-2017-126662,7/17/17,7/21/17,Standard Class,AB-10255,Home Office,TEC-CO-10004202,Technology,Copiers,Brother DCP1000 Digital 3 in 1 Multifunction Machine,479.984,2,0.2,89.997
