"initial_list_status","purpose","int_rate","installment","annual_inc","dti","verification_status","grade","revol_bal","inq_last_12m","delinq_2yrs","home_ownership","not_paid","log_inc","verified","grdCtoA"
"w","debt_consolidation",14.08,675.99,156700,19.11,"Source Verified","C",21936,3,0,"MORTGAGE",0,11.9620884283441,1,0
"f","debt_consolidation",9.44,480.08,50000,19.35,"Not Verified","B",5457,1,1,"RENT",1,10.8197782844103,0,1
"w","debt_consolidation",28.72,1010.3,25000,65.58,"Verified","F",23453,0,0,"OWN",1,10.1266311038503,1,0
"w","debt_consolidation",13.59,484.19,175000,12.6,"Not Verified","C",31740,0,0,"MORTGAGE",1,12.0725412529057,0,0
"w","major_purchase",15.05,476.33,109992,10,"Not Verified","C",2284,3,0,"MORTGAGE",0,11.6081629148571,0,0
"w","debt_consolidation",10.91,130.79,49000,5.12,"Not Verified","B",2016,5,0,"MORTGAGE",1,10.7995755770928,0,1
"w","credit_card",15.05,333.43,65000,22.38,"Not Verified","C",14330,0,0,"RENT",0,11.0821425488778,0,0
"w","credit_card",10.91,915.5,95000,33.11,"Not Verified","B",27588,1,0,"RENT",1,11.4616321705827,0,1
"w","home_improvement",17.09,713.96,150000,14.26,"Source Verified","D",27024,8,0,"MORTGAGE",1,11.9183905730784,1,0
"w","debt_consolidation",18.06,408.73,85000,17.66,"Verified","D",11719,1,0,"RENT",0,11.3504065354725,1,0
"w","debt_consolidation",29.69,642.47,62540,54.95,"Verified","F",25200,0,0,"MORTGAGE",1,11.0435616310118,1,0
"w","debt_consolidation",12.62,451.19,95000,19.57,"Source Verified","C",18645,12,1,"MORTGAGE",0,11.4616321705827,1,0
"w","credit_card",15.05,86.73,32400,12.41,"Verified","C",1080,4,0,"RENT",0,10.3859137017804,1,0
"f","small_business",26.3,344.85,60000,10.76,"Source Verified","E",1459,8,0,"RENT",1,11.0020998412042,1,0
"w","credit_card",10.42,211.03,52000,5.96,"Source Verified","B",5927,1,0,"RENT",1,10.8589989975636,1,1
"w","debt_consolidation",14.08,444.82,70000,16.25,"Verified","C",6198,3,0,"RENT",1,11.1562505210315,1,0
"w","debt_consolidation",12.62,225.6,15000,12.8,"Verified","C",4312,0,0,"RENT",1,9.61580548008435,1,0
"f","debt_consolidation",10.42,571.38,186000,9.54,"Not Verified","B",3647,3,2,"MORTGAGE",1,12.1335019526953,0,1
"f","home_improvement",9.44,672.11,65000,7.55,"Source Verified","B",1329,3,2,"MORTGAGE",0,11.0821425488778,1,1
"f","debt_consolidation",15.05,145.7,125000,13.86,"Not Verified","C",8660,9,0,"MORTGAGE",0,11.7360690162844,0,0
"w","debt_consolidation",7.07,436.36,48000,9.23,"Source Verified","A",18025,0,0,"MORTGAGE",1,10.77895628989,1,1
"w","debt_consolidation",12.62,542.89,140000,5.73,"Not Verified","C",13530,1,2,"MORTGAGE",1,11.8493977015914,0,0
"f","debt_consolidation",7.35,295.64,53000,19.88,"Not Verified","A",21341,1,0,"MORTGAGE",0,10.8780471925343,0,1
"w","debt_consolidation",21.45,371.38,35000,13.72,"Verified","D",9115,0,1,"MORTGAGE",1,10.4631033404715,1,0
"f","small_business",25.82,643.12,80000,0.41,"Source Verified","E",504,1,1,"MORTGAGE",1,11.289781913656,1,0
"w","debt_consolidation",18.06,578.93,40000,25.32,"Source Verified","D",15264,2,0,"RENT",1,10.5966347330961,1,0
"w","debt_consolidation",10.91,326.97,30000,21.24,"Not Verified","B",3241,1,0,"RENT",0,10.3089526606443,0,1
"w","debt_consolidation",20,148.66,68000,25.38,"Not Verified","D",20711,4,0,"MORTGAGE",1,11.1272629841582,0,0
"w","credit_card",9.93,270.77,35000,27.09,"Not Verified","B",8784,0,0,"RENT",0,10.4631033404715,0,1
"w","home_improvement",9.93,318.19,56000,10.95,"Source Verified","B",15327,1,0,"MORTGAGE",0,10.9331069697173,1,1
"w","credit_card",15.05,357.25,80000,27.27,"Verified","C",12466,2,0,"MORTGAGE",0,11.289781913656,1,0
"w","small_business",20,111.5,30000,7.96,"Verified","D",6922,0,0,"RENT",1,10.3089526606443,1,0
"w","debt_consolidation",30.75,393.79,120000,13.19,"Source Verified","F",11243,1,0,"OWN",1,11.6952470217642,1,0
"w","debt_consolidation",28.72,789.3,75000,26.46,"Not Verified","F",22549,0,0,"MORTGAGE",1,11.2252433925184,0,0
"w","debt_consolidation",11.99,322.48,102000,22.4,"Not Verified","B",0,4,0,"MORTGAGE",0,11.5327280922664,0,1
"w","debt_consolidation",16.02,211.01,17000,19.21,"Verified","C",3743,1,0,"RENT",1,9.74096862303835,1,0
"w","debt_consolidation",23.88,860.96,60000,22.16,"Verified","E",15945,3,0,"OWN",0,11.0020998412042,1,0
"w","debt_consolidation",22.91,579.95,50000,22.44,"Source Verified","E",0,0,1,"MORTGAGE",1,10.8197782844103,1,0
"f","credit_card",14.08,437.98,45000,28.03,"Source Verified","C",16180,2,0,"RENT",1,10.7144177687525,1,0
"w","debt_consolidation",21.45,682.68,25000,45.18,"Not Verified","D",16662,4,0,"MORTGAGE",0,10.1266311038503,0,0
"w","home_improvement",9.44,192.03,45000,3.65,"Not Verified","B",3044,1,1,"RENT",0,10.7144177687525,0,1
"w","debt_consolidation",10.42,194.79,71000,16.87,"Source Verified","B",2780,7,0,"MORTGAGE",0,11.1704351560235,1,1
"w","debt_consolidation",21.45,1186.48,140000,38.03,"Verified","D",258897,3,0,"MORTGAGE",1,11.8493977015914,1,0
"f","debt_consolidation",29.69,916.47,70000,21.65,"Verified","F",10609,3,0,"RENT",1,11.1562505210315,1,0
"w","debt_consolidation",19.03,660.09,45000,30.34,"Source Verified","D",7968,2,0,"OWN",1,10.7144177687525,1,0
"w","home_improvement",17.09,853.18,64800,37.56,"Not Verified","D",211088,2,0,"MORTGAGE",1,11.0790608823404,0,0
