initial_list_status,purpose,int_rate,installment,annual_inc,dti,verification_status,grade,revol_bal,inq_last_12m,delinq_2yrs,home_ownership,log_inc,verified,grdCtoA,not_paid
w,credit_card,14.08,342.17,60000.0,20.28,Source Verified,C,18518,1,0,RENT,11.002099841204199,1,0,1
w,debt_consolidation,19.03,597.02,86000.0,30.16,Verified,D,40998,9,0,MORTGAGE,11.3621025752356,1,0,0
w,debt_consolidation,23.88,717.46,27000.0,36.67,Source Verified,E,7166,1,0,RENT,10.2035921449865,1,0,1
w,debt_consolidation,7.21,557.52,80000.0,35.63,Not Verified,A,6859,2,0,MORTGAGE,11.289781913656,0,1,0
w,home_improvement,6.72,92.25,70000.0,7.27,Not Verified,A,2424,1,0,MORTGAGE,11.156250521031499,0,1,0
w,debt_consolidation,10.42,858.18,180000.0,5.83,Source Verified,B,9458,6,0,MORTGAGE,12.100712129872301,1,1,0
w,debt_consolidation,19.03,311.49,81400.0,8.06,Source Verified,D,6800,4,0,MORTGAGE,11.3071305519906,1,0,0
w,debt_consolidation,21.45,409.61,80000.0,22.81,Source Verified,D,14103,0,0,MORTGAGE,11.289781913656,1,0,1
w,credit_card,9.44,320.05,74000.0,14.24,Not Verified,B,43231,4,1,MORTGAGE,11.2118203721863,0,1,1
w,home_improvement,11.99,344.72,75000.0,4.53,Verified,B,2124,8,0,MORTGAGE,11.2252433925184,1,1,1
w,credit_card,10.42,350.62,49500.0,19.03,Not Verified,B,12509,2,1,RENT,10.8097279485568,0,1,1
w,home_improvement,7.35,465.57,63000.0,16.86,Not Verified,A,26853,1,0,MORTGAGE,11.0508900053737,0,1,0
f,debt_consolidation,26.3,809.02,34800.0,26.41,Verified,E,4053,3,0,OWN,10.4573726657626,1,0,0
w,debt_consolidation,16.02,351.67,120000.0,30.75,Not Verified,C,11691,11,1,MORTGAGE,11.6952470217642,0,0,1
w,debt_consolidation,16.02,351.67,50000.0,13.87,Verified,C,0,1,0,MORTGAGE,10.819778284410301,1,0,1
w,credit_card,13.59,461.13,98000.0,14.44,Verified,C,25100,3,0,MORTGAGE,11.4927227576527,1,0,1
f,major_purchase,9.44,64.01,68000.0,17.49,Not Verified,B,14579,1,0,OWN,11.127262984158198,0,1,1
w,home_improvement,7.35,465.57,47000.0,21.91,Not Verified,A,5053,0,0,MORTGAGE,10.757902880692198,0,1,1
w,credit_card,12.62,117.29,42350.0,22.52,Not Verified,C,22418,4,0,OWN,10.6537237000802,0,0,1
w,debt_consolidation,6.08,304.59,40000.0,7.05,Not Verified,A,12114,0,0,MORTGAGE,10.5966347330961,0,1,1
f,debt_consolidation,17.09,178.49,48500.0,24.57,Source Verified,D,12876,2,1,RENT,10.789319076925599,1,0,0
f,credit_card,7.21,322.13,26000.0,10.91,Verified,A,8486,0,0,OWN,10.165851817003599,1,1,1
f,debt_consolidation,19.03,110.02,35000.0,24.74,Verified,D,3710,2,0,RENT,10.4631033404715,1,0,0
f,credit_card,7.21,464.6,80000.0,30.68,Not Verified,A,17613,3,0,OWN,11.289781913656,0,1,0
w,credit_card,6.72,107.63,57000.0,24.74,Not Verified,A,14125,3,0,RENT,10.950806546816699,0,1,0
f,credit_card,19.03,88.02,38000.0,31.93,Not Verified,D,1844,4,0,RENT,10.5453414387085,0,0,0
f,debt_consolidation,22.91,1353.2,127000.0,19.47,Verified,E,18124,5,2,MORTGAGE,11.7519423654407,1,0,1
w,debt_consolidation,21.45,955.75,60000.0,21.46,Verified,D,6983,2,0,RENT,11.002099841204199,1,0,1
w,home_improvement,10.42,162.33,25000.0,44.07,Verified,B,19898,0,0,OWN,10.1266311038503,1,1,0
w,debt_consolidation,24.85,643.8,60000.0,38.16,Source Verified,E,18341,8,0,MORTGAGE,11.002099841204199,1,0,1
f,debt_consolidation,23.88,317.28,51000.0,24.71,Not Verified,E,4742,4,0,RENT,10.8395809117065,0,0,1
w,debt_consolidation,11.99,322.48,102000.0,22.4,Not Verified,B,0,4,0,MORTGAGE,11.5327280922664,0,1,0
w,debt_consolidation,7.21,278.76,50000.0,11.0,Not Verified,A,7801,3,0,RENT,10.819778284410301,0,1,0
f,debt_consolidation,15.05,145.7,125000.0,13.86,Not Verified,C,8660,9,0,MORTGAGE,11.736069016284402,0,0,0
w,home_improvement,15.05,400.12,250000.0,10.42,Source Verified,C,9302,4,1,OWN,12.4292161968444,1,0,1
w,debt_consolidation,13.59,508.4,66000.0,27.75,Verified,C,10949,0,0,MORTGAGE,11.0974100210086,1,0,0
w,debt_consolidation,23.88,195.85,53000.0,33.49,Not Verified,E,3212,0,0,RENT,10.878047192534302,0,0,1
w,debt_consolidation,9.93,483.52,88500.0,35.06,Source Verified,B,25599,1,0,MORTGAGE,11.390757830996002,1,1,1
w,debt_consolidation,9.44,251.68,68000.0,12.28,Source Verified,B,21180,0,0,RENT,11.127262984158198,1,1,0
w,debt_consolidation,18.06,408.73,85000.0,17.66,Verified,D,11719,1,0,RENT,11.3504065354725,1,0,0
f,home_improvement,15.05,346.9,50000.0,28.16,Not Verified,C,12959,1,0,MORTGAGE,10.819778284410301,0,0,1
f,debt_consolidation,10.42,486.98,68000.0,21.73,Not Verified,B,6096,1,0,RENT,11.127262984158198,0,1,0
w,debt_consolidation,18.06,1266.39,75000.0,25.66,Verified,D,10466,6,0,MORTGAGE,11.2252433925184,1,0,0
w,debt_consolidation,7.97,313.23,25000.0,85.93,Verified,A,12520,6,0,MORTGAGE,10.1266311038503,1,1,1
w,debt_consolidation,26.3,599.36,123000.0,20.38,Verified,E,51164,3,0,MORTGAGE,11.7199396343546,1,0,1
