item_link,title,price_original,price_discount,sub_category,time_update,scale
https://www.bukalapak.com/p/kesehatan-2359/produk-kesehatan-lainnya/qm3d7z-jual-rinso-molto-deterjen-bubuk-1-8-kg?from=&product_owner=normal_seller,Rinso Molto Deterjen Bubuk 1.8 kg,30000,NA,detergent,10/20/2018 1:32,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/home-stuff/nb4nqe-jual-terlaris-detergent-rinso-anti-noda-1-8-kg-1-8-kg?from=&product_owner=normal_seller,Terlaris - DETERGENT RINSO ANTI NODA 1.8 KG 1 8 kg,49000,NA,detergent,9/20/2018 1:02,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/home-stuff/nyfhwm-jual-good-rinso-molto-purple-1-8-kg?from=&product_owner=normal_seller,Good Rinso Molto Purple 1.8 Kg,50000,NA,detergent,10/13/2018 10:46,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/home-stuff/nzxnaq-jual-order-rinso-molto-purple-1-8-kg?from=&product_owner=normal_seller,Order Rinso Molto Purple 1.8 Kg,49000,NA,detergent,9/24/2018 15:17,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/home-stuff/oeau6t-jual-promonya-rinso-molto-purple-1-8-kg?from=&product_owner=normal_seller,Promonya Rinso Molto Purple 1.8 Kg,49000,NA,detergent,9/27/2018 11:16,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/home-stuff/oevegl-jual-terlaris-detergent-rinso-anti-noda-1-8-kg-1-8-kg?from=&product_owner=normal_seller,Terlaris - DETERGENT RINSO ANTI NODA 1.8 KG 1 8 kg,56000,NA,detergent,9/27/2018 12:53,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/home-stuff/oh98i2-jual-terlaris-detergen-rinso-anti-noda-1-8kg-rinso-deterjen-1-8-kg?from=&product_owner=normal_seller,Terlaris - Detergen Rinso Anti Noda 1.8kg Rinso Deterjen 1 8 kg,53000,NA,detergent,9/27/2018 23:36,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/home-stuff/ojcn1k-jual-best-seller-rinso-molto-purple-1-8-kg?from=&product_owner=normal_seller,Best Seller Rinso Molto Purple 1.8 Kg,48000,NA,detergent,9/28/2018 11:13,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/home-stuff/ot7j7r-jual-promo-detergen-rinso-anti-noda-1-8kg-rinso-deterjen-1-8-kg?from=&product_owner=normal_seller,Promo Detergen Rinso Anti Noda 1.8kg Rinso Deterjen 1 8 kg,58000,NA,detergent,9/30/2018 23:42,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/home-stuff/pcg4k8-jual-termurah-detergen-rinso-anti-noda-1-8kg-rinso-deterjen-1-8-kg?from=&product_owner=normal_seller,Termurah - Detergen Rinso Anti Noda 1.8kg Rinso Deterjen 1 8 kg,55000,NA,detergent,10/4/2018 13:13,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/home-stuff/r11g6a-jual-promoo-detergent-rinso-anti-noda-1-8-kg-1-8-kg-jb1349?from=&product_owner=normal_seller,Promoo Detergent Rinso Anti Noda 1.8 Kg 1.8 Kg -Jb1349,38000,NA,detergent,10/19/2018 10:57,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/kamar-mandi/ojag11-jual-detergent-rinso-anti-noda-1-8-kg-1-8-kg?from=&product_owner=normal_seller,Detergent Rinso Anti Noda 1.8 Kg 1.8 Kg,40000,NA,detergent,9/28/2018 11:04,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/kamar-mandi/ojbckd-jual-detergen-rinso-anti-noda-1-8kg-rinso-deterjen-1-8-kg?from=&product_owner=normal_seller,Detergen Rinso Anti Noda 1.8Kg . Rinso Deterjen 1.8 Kg,44000,NA,detergent,9/28/2018 11:08,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/kamar-mandi/ojn97h-jual-jual-rinso-molto-pink-ungu-1-8-kg?from=&product_owner=normal_seller,Jual Rinso Molto Pink Ungu 1.8 Kg,46000,NA,detergent,9/28/2018 12:17,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/kamar-mandi/qb0jjo-jual-hot-rinso-anti-noda-1-8-kg?from=&product_owner=normal_seller,Hot Rinso Anti Noda 1.8 Kg,43000,NA,detergent,10/11/2018 11:39,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/kamar-mandi/qdhvkd-jual-produk-rinso-anti-noda-1-8-kg?from=&product_owner=normal_seller,Produk Rinso Anti Noda 1.8 Kg,43000,NA,detergent,10/12/2018 13:40,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/kamar-mandi/rcxbhj-jual-best-seller-rinso-anti-noda-1-8-kg?from=&product_owner=normal_seller,Best Seller Rinso Anti Noda 1.8 Kg,43000,NA,detergent,10/22/2018 11:15,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/kamar-mandi/rdza4j-jual-best-rinso-anti-noda-1-8-kg?from=&product_owner=normal_seller,Best Rinso Anti Noda 1.8 Kg,43000,NA,detergent,10/22/2018 14:09,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/perkakas-rumah-tangga/qfhg13-jual-rinso-molto-pink-ungu-1-8-kg?from=&product_owner=normal_seller,RINSO MOLTO PINK UNGU 1.8 KG,50000,NA,detergent,10/13/2018 14:10,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/perlengkapan-kebersihan/9mf1lt-jual-rinso-molto-refil-1-8-kg?from=&product_owner=normal_seller,Rinso Molto Refil 1.8 Kg,40000,NA,detergent,7/12/2018 23:25,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/perlengkapan-kebersihan/alj8wr-jual-rinso-anti-noda-1-8-kg?from=&product_owner=normal_seller,Rinso Anti noda 1.8 Kg,35000,NA,detergent,9/22/2018 9:34,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/perlengkapan-kebersihan/bepqdd-jual-deterjen-bubuk-rinso-anti-noda-1-8-kg-murmer?from=&product_owner=normal_seller,Deterjen bubuk Rinso Anti Noda 1.8 kg murmer,32000,NA,detergent,9/2/2018 4:41,1.8 kg
https://www.bukalapak.com/p/rumah-tangga/perlengkapan-kebersihan/d3nhsu-jual-rinso-anti-noda-1-8-kg?from=&product_owner=normal_seller,Rinso Anti noda 1.8 kg,29500,NA,detergent,10/19/2018 6:40,1.8 kg
