customer_id,city,gender,senior_citizen,dependents,tenure_months,phone_service,internet_service,contract,monthly_charges,total_charges,churn_label,cltv
3668-QPYBK,Los Angeles,Male,No,No,2,Single Line,DSL,Month-to-month,53.85,108.15,Yes,3239
9237-HQITU,Los Angeles,Female,No,Yes,2,Single Line,Fiber optic,Month-to-month,95.58492793993985,151.65,Yes,2701
9305-CDSKC,Los Angeles,Female,No,Yes,8,Multiple Lines,Fiber optic,Month-to-month,106.01348086999316,820.5,Yes,5372
7892-POOKP,Los Angeles,Female,No,Yes,28,Multiple Lines,Fiber optic,Month-to-month,92.01318349620216,3046.05,Yes,5003
0280-XJGEX,Los Angeles,Male,No,Yes,49,Multiple Lines,Fiber optic,Month-to-month,89.51749917255188,5036.3,Yes,5340
4190-MFLUW,Los Angeles,Female,No,No,10,Single Line,DSL,Month-to-month,55.2,528.35,Yes,5925
8779-QRDMV,Los Angeles,Male,Yes,No,1,No,DSL,Month-to-month,39.65,39.65,Yes,5433
1066-JKSGK,Los Angeles,Male,No,No,1,Single Line,No,Month-to-month,20.15,20.15,Yes,4832
6467-CHFZW,Los Angeles,Male,No,Yes,47,Multiple Lines,Fiber optic,Month-to-month,101.00424204561268,4749.15,Yes,5789
8665-UTDHZ,Los Angeles,Male,No,No,1,No,DSL,Month-to-month,30.2,30.2,Yes,2915
8773-HHUOZ,Los Angeles,Female,No,No,17,Single Line,DSL,Month-to-month,64.7,1093.1,Yes,3022
6047-YHPVI,Los Angeles,Male,No,Yes,5,Single Line,Fiber optic,Month-to-month,105.54594705634355,316.9,Yes,2454
5380-WJKOV,Los Angeles,Male,No,Yes,34,Multiple Lines,Fiber optic,Month-to-month,97.41098075737769,3549.25,Yes,2941
8168-UQWWF,Los Angeles,Female,No,Yes,11,Multiple Lines,Fiber optic,Month-to-month,93.80162560013963,1105.4,Yes,5674
7760-OYPDY,Los Angeles,Female,No,Yes,2,Single Line,Fiber optic,Month-to-month,86.12183096408222,144.15,Yes,5586
9420-LOJKX,Los Angeles,Female,No,Yes,15,Single Line,Fiber optic,Month-to-month,108.71340741269228,1426.4,Yes,2966
7495-OOKFY,Los Angeles,Female,Yes,Yes,8,Multiple Lines,Fiber optic,Month-to-month,80.62232100786473,633.3,Yes,5302
1658-BYGOY,Los Angeles,Male,Yes,Yes,18,Multiple Lines,Fiber optic,Month-to-month,71.25580398789863,1752.55,Yes,3179
5698-BQJOH,Beverly Hills,Female,No,Yes,9,Multiple Lines,Fiber optic,Month-to-month,82.52676598596645,857.25,Yes,5571
5919-TMRGD,Huntington Park,Female,No,Yes,1,Single Line,Fiber optic,Month-to-month,81.39521456445685,79.35,Yes,2483
9191-MYQKX,Lynwood,Female,No,Yes,7,Single Line,Fiber optic,Month-to-month,93.99374008125301,496.9,Yes,3457
8637-XJIVR,Marina Del Rey,Female,No,Yes,12,Multiple Lines,Fiber optic,Month-to-month,78.18409915174136,927.35,Yes,5806
0278-YXOOG,Inglewood,Male,No,No,5,Single Line,No,Month-to-month,21.05,113.85,Yes,2604
4598-XLKNJ,Inglewood,Female,Yes,Yes,25,Single Line,Fiber optic,Month-to-month,93.07187403543283,2514.5,Yes,5337
3192-NQECA,Santa Monica,Male,No,No,68,Multiple Lines,Fiber optic,Two year,110.0,7611.85,Yes,5034
0486-HECZI,Torrance,Male,No,Yes,55,Multiple Lines,Fiber optic,Month-to-month,93.2590498996778,5238.9,Yes,5154
4846-WHAFZ,Whittier,Female,Yes,Yes,37,Multiple Lines,Fiber optic,Month-to-month,93.73806672401112,2868.15,Yes,2793
5299-RULOA,Whittier,Female,No,Yes,10,Multiple Lines,Fiber optic,Month-to-month,101.73952413495249,1064.65,Yes,5998
0404-SWRVG,La Habra,Male,No,Yes,3,Multiple Lines,Fiber optic,Month-to-month,100.16717576886478,229.55,Yes,4415
4412-YLTKF,Pico Rivera,Female,Yes,Yes,27,Multiple Lines,Fiber optic,Month-to-month,70.79560868627837,2135.5,Yes,4638
6207-WIOLX,Avalon,Female,No,No,25,No,DSL,Month-to-month,58.6,1502.65,Yes,4190
3091-FYHKI,Harbor City,Male,No,No,1,No,DSL,Month-to-month,35.45,35.45,Yes,2301
2372-HWUHI,Lakewood,Male,No,No,2,Single Line,DSL,Month-to-month,44.35,81.25,Yes,2570
0390-DCFDQ,Los Alamitos,Female,Yes,Yes,1,Single Line,Fiber optic,Month-to-month,96.88066189811285,70.45,Yes,3964
4080-OGPJL,San Pedro,Female,No,No,8,Multiple Lines,DSL,Month-to-month,71.15,563.65,Yes,2662
2135-RXIHG,Carson,Male,No,No,1,Single Line,DSL,Month-to-month,45.65,45.65,Yes,2600
3874-EQOEP,Long Beach,Male,No,Yes,7,Multiple Lines,Fiber optic,Month-to-month,78.95789325779855,655.5,Yes,2786
0867-MKZVY,Altadena,Female,No,Yes,20,Multiple Lines,Fiber optic,Month-to-month,81.59314911813128,1592.35,Yes,5719
3376-BMGFE,Monrovia,Female,No,Yes,4,Single Line,Fiber optic,Month-to-month,99.18385535312471,273.0,Yes,4287
3445-HXXGF,Sierra Madre,Male,Yes,No,58,No,DSL,Month-to-month,45.3,2651.2,Yes,5444
1875-QIVME,Tujunga,Female,No,Yes,2,Multiple Lines,Fiber optic,Month-to-month,88.85571456793345,242.8,Yes,4690
0691-JVSYA,Pasadena,Female,No,No,53,Single Line,Fiber optic,One year,94.85,5000.2,Yes,4328
2656-FMOKZ,Pasadena,Female,Yes,Yes,15,Multiple Lines,Fiber optic,Month-to-month,83.75594819080406,1145.7,Yes,5717
2070-FNEXE,Pasadena,Female,Yes,Yes,7,Single Line,Fiber optic,Month-to-month,94.97087709055836,503.6,Yes,4419
6317-YPKDH,Glendale,Female,No,No,1,No,DSL,Month-to-month,29.95,29.95,Yes,4534
9367-WXLCH,Glendale,Male,No,Yes,8,Multiple Lines,Fiber optic,Month-to-month,85.80757290217693,662.65,Yes,2152
1918-ZBFQJ,Glendale,Female,No,Yes,13,Single Line,Fiber optic,Month-to-month,97.28737779887196,1111.65,Yes,5142
1024-GUALD,Glendale,Female,No,No,1,No,DSL,Month-to-month,24.8,24.8,Yes,4851
2472-OVKUP,Canoga Park,Male,No,Yes,6,Single Line,Fiber optic,Month-to-month,88.36608824899972,531.0,Yes,2283
1285-OKIPP,Mission Hills,Male,No,Yes,1,Single Line,Fiber optic,Month-to-month,78.66451818726124,79.9,Yes,3394
7825-ECJRF,Santa Clarita,Female,No,Yes,19,Single Line,Fiber optic,Month-to-month,96.789711278028,1934.45,Yes,3764
7841-TZDMQ,Sun Valley,Male,No,No,2,Single Line,DSL,Month-to-month,46.0,84.5,Yes,2667
9408-SSNVZ,Stevenson Ranch,Female,No,Yes,4,Single Line,Fiber optic,Month-to-month,94.8365499669392,268.35,Yes,2227
0742-MOABM,Panorama City,Male,No,No,4,Single Line,DSL,Month-to-month,50.05,179.35,Yes,3394
2232-DMLXU,Van Nuys,Female,No,No,1,Single Line,DSL,Month-to-month,55.2,55.2,Yes,3638
8937-RDTHP,Burbank,Male,No,Yes,1,Single Line,Fiber optic,Month-to-month,102.3472312992949,84.6,Yes,2484
1251-KRREG,North Hollywood,Male,No,No,2,Multiple Lines,DSL,Month-to-month,54.4,114.1,Yes,2556
0094-OIFMO,North Hollywood,Female,Yes,Yes,11,Single Line,Fiber optic,Month-to-month,85.65396300322267,1120.3,Yes,5980
9947-OTFQU,Covina,Male,Yes,No,15,Single Line,Fiber optic,Month-to-month,88.77497769398441,1074.3,Yes,4616
0322-YINQP,Covina,Male,No,No,1,Single Line,DSL,Month-to-month,48.55,48.55,Yes,5687
4629-NRXKX,El Monte,Female,No,No,2,Single Line,Fiber optic,Month-to-month,109.9852942078387,147.15,Yes,5687
9514-JDSKI,El Monte,Male,Yes,No,1,No,DSL,Month-to-month,40.2,40.2,Yes,5828
4959-JOSRX,La Puente,Female,No,No,2,Single Line,DSL,Month-to-month,44.6,80.55,Yes,4884
7273-TEFQD,La Puente,Male,Yes,No,3,No,DSL,Month-to-month,41.15,132.2,Yes,2314
3606-TWKGI,Rowland Heights,Male,Yes,No,13,Multiple Lines,Fiber optic,Month-to-month,109.05403822547262,1364.3,Yes,2494
6323-AYBRX,Ontario,Male,No,No,59,Single Line,No,Two year,19.35,1099.6,Yes,5084
4385-GZQXV,Ontario,Female,Yes,No,16,Single Line,Fiber optic,Month-to-month,84.88040096224844,1511.2,Yes,3810
6366-ZGQGL,Pomona,Male,No,No,1,No,DSL,Month-to-month,24.8,24.8,Yes,5087
5940-AHUHD,Pomona,Male,No,No,1,Single Line,Fiber optic,Month-to-month,72.02726740063396,70.6,Yes,3338
6432-TWQLB,Rosemead,Male,No,No,5,Multiple Lines,Fiber optic,Month-to-month,95.82440165962852,401.1,Yes,3676
4484-GLZOU,San Dimas,Female,No,No,52,Multiple Lines,Fiber optic,Month-to-month,81.0278742639796,5624.85,Yes,4839
9512-UIBFX,West Covina,Male,No,No,18,Single Line,Fiber optic,Month-to-month,86.59111704080185,1779.95,Yes,4643
5583-SXDAG,Alhambra,Male,No,No,1,Single Line,Fiber optic,Month-to-month,86.42987404369757,70.0,Yes,4094
3488-PGMQJ,Alpine,Male,Yes,No,8,Single Line,Fiber optic,Month-to-month,76.1034647462405,606.55,Yes,4345
3580-REOAC,Bonita,Male,No,No,10,Single Line,DSL,Month-to-month,44.85,435.4,Yes,4061
7534-BFESC,Boulevard,Male,Yes,No,24,Multiple Lines,Fiber optic,Month-to-month,86.39855813923279,1712.7,Yes,2018
6390-DSAZX,Guatay,Female,No,No,1,Single Line,Fiber optic,Month-to-month,104.96865261994742,73.6,Yes,2565
8098-LLAZX,Jacumba,Female,Yes,No,4,Multiple Lines,Fiber optic,Month-to-month,95.08925585594194,396.1,Yes,3677
0265-EDXBD,Mount Laguna,Male,Yes,No,32,Multiple Lines,Fiber optic,Month-to-month,82.403152888969,2303.35,Yes,4105
